first;second;overlap
conll03_train;conll03_train;1,0
conll03_train;conll03_train;1,0
conll03_train;conll03_dev;0,48002042640112347
conll03_dev;conll03_train;0,68832043083137
conll03_train;conll03_test;0,39712328184178053
conll03_test;conll03_train;0,5364730878186968
conll03_dev;conll03_dev;1,0
conll03_dev;conll03_dev;1,0
conll03_dev;conll03_test;0,4173678895994615
conll03_test;conll03_dev;0,4006728045325779
conll03_test;conll03_test;1,0
conll03_test;conll03_test;1,0
wnut_train;wnut_train;1,0
wnut_train;wnut_train;1,0
wnut_train;wnut_dev;0,019746835443037975
wnut_dev;wnut_train;0,03110047846889952
wnut_train;wnut_test;0,013670886075949367
wnut_test;wnut_train;0,018535681186283594
wnut_train;lowner_train;0,1529113924050633
lowner_train;wnut_train;0,0496890833717181
wnut_train;lowner_dev;0,0789873417721519
lowner_dev;wnut_train;0,05486399262332872
wnut_train;lowner_test;0,21012658227848102
lowner_test;wnut_train;0,052063317778387776
wnut_dev;wnut_dev;1,0
wnut_dev;wnut_dev;1,0
wnut_dev;wnut_test;0,08373205741626795
wnut_test;wnut_dev;0,07877664504170528
wnut_dev;lowner_train;0,0729665071770335
lowner_train;wnut_dev;0,019058037770612622
wnut_dev;lowner_dev;0,04425837320574163
lowner_dev;wnut_dev;0,02351313969571231
wnut_dev;lowner_test;0,13157894736842105
lowner_test;wnut_dev;0,020404428584499954
wnut_test;wnut_test;1,0
wnut_test;wnut_test;1,0
wnut_test;lowner_train;0,082483781278962
lowner_train;wnut_test;0,016754951635191157
wnut_test;lowner_dev;0,04077849860982391
lowner_dev;wnut_test;0,017289073305670817
wnut_test;lowner_test;0,11399443929564411
lowner_test;wnut_test;0,019603806386677646
lowner_train;lowner_train;1,0
lowner_train;lowner_train;1,0
lowner_train;lowner_dev;0,17209811146936896
lowner_dev;lowner_train;0,2982941447671738
lowner_train;lowner_test;0,39112160294795023
lowner_test;lowner_train;0,29561259035593374
lowner_dev;lowner_dev;1,0
lowner_dev;lowner_dev;1,0
lowner_dev;lowner_test;0,3937298294144767
lowner_test;lowner_dev;0,17570226004208986
lowner_test;lowner_test;1,0
lowner_test;lowner_test;1,0
