;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;first;second;data_type;cosine_similarity
0;0;0;0;conll03_train;conll03_train;gazetteers;0,7533982992172241
1;1;1;1;conll03_train;conll03_train;gazetteers;0,7533982992172241
2;2;2;2;conll03_train;conll03_train;sentences;0,7007114887237549
3;3;3;3;conll03_train;conll03_train;sentences;0,7007114887237549
4;4;4;4;conll03_train;conll03_dev;gazetteers;0,7002054452896118
5;5;5;5;conll03_dev;conll03_train;gazetteers;0,8502382636070251
6;6;6;6;conll03_train;conll03_dev;sentences;0,5823596119880676
7;7;7;7;conll03_dev;conll03_train;sentences;0,6885507702827454
8;8;8;8;conll03_train;conll03_test;gazetteers;0,6755914688110352
9;9;9;9;conll03_test;conll03_train;gazetteers;0,8028678894042969
10;10;10;10;conll03_train;conll03_test;sentences;0,5381149649620056
11;11;11;11;conll03_test;conll03_train;sentences;0,6272163987159729
12;12;12;12;conll03_train;wnut_train;gazetteers;0,5825791954994202
13;13;13;13;wnut_train;conll03_train;gazetteers;0,6457687020301819
14;14;14;14;conll03_train;wnut_train;sentences;0,398391455411911
15;15;15;15;wnut_train;conll03_train;sentences;0,2586600482463836
16;16;16;16;conll03_train;wnut_dev;gazetteers;0,5307754278182983
17;17;17;17;wnut_dev;conll03_train;gazetteers;0,6167353391647339
18;18;18;18;conll03_train;wnut_dev;sentences;0,302938312292099
19;19;19;19;wnut_dev;conll03_train;sentences;0,2421935796737671
20;20;20;20;conll03_train;wnut_test;gazetteers;0,5525259971618652
21;21;21;21;wnut_test;conll03_train;gazetteers;0,6041315197944641
22;22;22;22;conll03_train;wnut_test;sentences;0,3405773937702179
23;23;23;23;wnut_test;conll03_train;sentences;0,2624014914035797
24;24;24;24;conll03_train;ai_train;gazetteers;0,4885877072811126
25;25;25;25;ai_train;conll03_train;gazetteers;0,5210883021354675
26;26;26;26;conll03_train;ai_train;sentences;0,1636748909950256
27;27;27;27;ai_train;conll03_train;sentences;0,2156818211078643
28;28;28;28;conll03_train;ai_dev;gazetteers;0,5375725626945496
29;29;29;29;ai_dev;conll03_train;gazetteers;0,5040066242218018
30;30;30;30;conll03_train;ai_dev;sentences;0,2403806447982788
31;31;31;31;ai_dev;conll03_train;sentences;0,2200259864330291
32;32;32;32;conll03_train;ai_test;gazetteers;0,5480899214744568
33;33;33;33;ai_test;conll03_train;gazetteers;0,5122836828231812
34;34;34;34;conll03_train;ai_test;sentences;0,2523366510868072
35;35;35;35;ai_test;conll03_train;sentences;0,2207728326320648
36;36;36;36;conll03_train;literature_train;gazetteers;0,5114281177520752
37;37;37;37;literature_train;conll03_train;gazetteers;0,6110705137252808
38;38;38;38;conll03_train;literature_train;sentences;0,1842774897813797
39;39;39;39;literature_train;conll03_train;sentences;0,2580516040325165
40;40;40;40;conll03_train;literature_dev;gazetteers;0,5830022096633911
41;41;41;41;literature_dev;conll03_train;gazetteers;0,6192682981491089
42;42;42;42;conll03_train;literature_dev;sentences;0,2676336169242859
43;43;43;43;literature_dev;conll03_train;sentences;0,2565309107303619
44;44;44;44;conll03_train;literature_test;gazetteers;0,5730882883071899
45;45;45;45;literature_test;conll03_train;gazetteers;0,6025817394256592
46;46;46;46;conll03_train;literature_test;sentences;0,2402355968952179
47;47;47;47;literature_test;conll03_train;sentences;0,2449465245008468
48;48;48;48;conll03_train;music_train;gazetteers;0,5013925433158875
49;49;49;49;music_train;conll03_train;gazetteers;0,5715440511703491
50;50;50;50;conll03_train;music_train;sentences;0,1982740759849548
51;51;51;51;music_train;conll03_train;sentences;0,2436200082302093
52;52;52;52;conll03_train;music_dev;gazetteers;0,578605592250824
53;53;53;53;music_dev;conll03_train;gazetteers;0,5836238265037537
54;54;54;54;conll03_train;music_dev;sentences;0,2688142955303192
55;55;55;55;music_dev;conll03_train;sentences;0,2489442676305771
56;56;56;56;conll03_train;music_test;gazetteers;0,5819725394248962
57;57;57;57;music_test;conll03_train;gazetteers;0,5803068280220032
58;58;58;58;conll03_train;music_test;sentences;0,2703907191753387
59;59;59;59;music_test;conll03_train;sentences;0,2468890845775604
60;60;60;60;conll03_train;politics_train;gazetteers;0,5792801380157471
61;61;61;61;politics_train;conll03_train;gazetteers;0,7017026543617249
62;62;62;62;conll03_train;politics_train;sentences;0,2903953492641449
63;63;63;63;politics_train;conll03_train;sentences;0,3881703615188598
64;64;64;64;conll03_train;politics_dev;gazetteers;0,6045976281166077
65;65;65;65;politics_dev;conll03_train;gazetteers;0,6612774729728699
66;66;66;66;conll03_train;politics_dev;sentences;0,3227914869785309
67;67;67;67;politics_dev;conll03_train;sentences;0,3918104469776153
68;68;68;68;conll03_train;politics_test;gazetteers;0,626793622970581
69;69;69;69;politics_test;conll03_train;gazetteers;0,6785674691200256
70;70;70;70;conll03_train;politics_test;sentences;0,3341696560382843
