;first;second;overlap
0;wnut_train;wnut_train;1,0
1;wnut_train;wnut_train;1,0
2;wnut_train;wnut_dev;0,019746835443037975
3;wnut_dev;wnut_train;0,03110047846889952
4;wnut_train;wnut_test;0,013670886075949367
5;wnut_test;wnut_train;0,018535681186283594
6;wnut_train;lowner_train;0,1529113924050633
7;lowner_train;wnut_train;0,0496890833717181
8;wnut_train;lowner_dev;0,0789873417721519
9;lowner_dev;wnut_train;0,05486399262332872
10;wnut_train;lowner_test;0,21012658227848102
11;lowner_test;wnut_train;0,052063317778387776
12;wnut_dev;wnut_dev;1,0
13;wnut_dev;wnut_dev;1,0
14;wnut_dev;wnut_test;0,08373205741626795
15;wnut_test;wnut_dev;0,07877664504170528
16;wnut_dev;lowner_train;0,0729665071770335
17;lowner_train;wnut_dev;0,019058037770612622
18;wnut_dev;lowner_dev;0,04425837320574163
19;lowner_dev;wnut_dev;0,02351313969571231
20;wnut_dev;lowner_test;0,13157894736842105
21;lowner_test;wnut_dev;0,020404428584499954
22;wnut_test;wnut_test;1,0
23;wnut_test;wnut_test;1,0
24;wnut_test;lowner_train;0,082483781278962
25;lowner_train;wnut_test;0,016754951635191157
26;wnut_test;lowner_dev;0,04077849860982391
27;lowner_dev;wnut_test;0,017289073305670817
28;wnut_test;lowner_test;0,11399443929564411
29;lowner_test;wnut_test;0,019603806386677646
30;lowner_train;lowner_train;1,0
31;lowner_train;lowner_train;1,0
32;lowner_train;lowner_dev;0,17209811146936896
33;lowner_dev;lowner_train;0,2982941447671738
34;lowner_train;lowner_test;0,39112160294795023
35;lowner_test;lowner_train;0,29561259035593374
36;lowner_dev;lowner_dev;1,0
37;lowner_dev;lowner_dev;1,0
38;lowner_dev;lowner_test;0,3937298294144767
39;lowner_test;lowner_dev;0,17570226004208986
40;lowner_test;lowner_test;1,0
41;lowner_test;lowner_test;1,0
