;first;second;data_type;cosine_similarity
0;wnut_train;wnut_train;gazetteers;0,6165032386779785
1;wnut_train;wnut_train;gazetteers;0,6165032386779785
2;wnut_train;wnut_train;sentences;0,5899672508239746
3;wnut_train;wnut_train;sentences;0,5899672508239746
4;wnut_train;wnut_dev;gazetteers;0,541384220123291
5;wnut_dev;wnut_train;gazetteers;0,5765769481658936
6;wnut_train;wnut_dev;sentences;0,39178091287612915
7;wnut_dev;wnut_train;sentences;0,40292811393737793
8;wnut_train;wnut_test;gazetteers;0,5454993844032288
9;wnut_test;wnut_train;gazetteers;0,5488871932029724
10;wnut_train;wnut_test;sentences;0,4449922442436218
11;wnut_test;wnut_train;sentences;0,4113253653049469
12;wnut_train;lowner_train;gazetteers;0,6975943446159363
13;lowner_train;wnut_train;gazetteers;0,5649789571762085
14;wnut_train;lowner_train;sentences;0,3895328640937805
15;lowner_train;wnut_train;sentences;0,3452044427394867
16;wnut_train;lowner_dev;gazetteers;0,6208603382110596
17;lowner_dev;wnut_train;gazetteers;0,5769467949867249
18;wnut_train;lowner_dev;sentences;0,3474467992782593
19;lowner_dev;wnut_train;sentences;0,3465976119041443
20;wnut_train;lowner_test;gazetteers;0,7473533153533936
21;lowner_test;wnut_train;gazetteers;0,5569960474967957
22;wnut_train;lowner_test;sentences;0,41305872797966003
23;lowner_test;wnut_train;sentences;0,3463442325592041
24;wnut_dev;wnut_dev;gazetteers;0,5748541951179504
25;wnut_dev;wnut_dev;gazetteers;0,5748541951179504
26;wnut_dev;wnut_dev;sentences;0,4491617679595947
27;wnut_dev;wnut_dev;sentences;0,4491617679595947
28;wnut_dev;wnut_test;gazetteers;0,5719968676567078
29;wnut_test;wnut_dev;gazetteers;0,5368704795837402
30;wnut_dev;wnut_test;sentences;0,37480270862579346
31;wnut_test;wnut_dev;sentences;0,3480786383152008
32;wnut_dev;lowner_train;gazetteers;0,6703541278839111
33;lowner_train;wnut_dev;gazetteers;0,5129446983337402
34;wnut_dev;lowner_train;sentences;0,3945968449115753
35;lowner_train;wnut_dev;sentences;0,3206287622451782
36;wnut_dev;lowner_dev;gazetteers;0,5951701998710632
37;lowner_dev;wnut_dev;gazetteers;0,5210193395614624
38;wnut_dev;lowner_dev;sentences;0,3557014763355255
39;lowner_dev;wnut_dev;sentences;0,3222684860229492
40;wnut_dev;lowner_test;gazetteers;0,7315455079078674
41;lowner_test;wnut_dev;gazetteers;0,5074300169944763
42;wnut_dev;lowner_test;sentences;0,424611359834671
43;lowner_test;wnut_dev;sentences;0,32173222303390503
44;wnut_test;wnut_test;gazetteers;0,571673572063446
45;wnut_test;wnut_test;gazetteers;0,571673572063446
46;wnut_test;wnut_test;sentences;0,45827335119247437
47;wnut_test;wnut_test;sentences;0,45827335119247437
48;wnut_test;lowner_train;gazetteers;0,6528211236000061
49;lowner_train;wnut_test;gazetteers;0,5285310745239258
50;wnut_test;lowner_train;sentences;0,388375848531723
51;lowner_train;wnut_test;sentences;0,3316335380077362
52;wnut_test;lowner_dev;gazetteers;0,5779746174812317
53;lowner_dev;wnut_test;gazetteers;0,5402970314025879
54;wnut_test;lowner_dev;sentences;0,35037416219711304
55;lowner_dev;wnut_test;sentences;0,33478018641471863
56;wnut_test;lowner_test;gazetteers;0,6972903609275818
57;lowner_test;wnut_test;gazetteers;0,5227556228637695
58;wnut_test;lowner_test;sentences;0,4171656370162964
59;lowner_test;wnut_test;sentences;0,33201831579208374
60;lowner_train;lowner_train;gazetteers;0,6880336999893188
61;lowner_train;lowner_train;gazetteers;0,6880336999893188
62;lowner_train;lowner_train;sentences;0,5620711445808411
63;lowner_train;lowner_train;sentences;0,5620711445808411
64;lowner_train;lowner_dev;gazetteers;0,6454634666442871
65;lowner_dev;lowner_train;gazetteers;0,7458184957504272
66;lowner_train;lowner_dev;sentences;0,509516716003418
67;lowner_dev;lowner_train;sentences;0,5653440356254578
68;lowner_train;lowner_test;gazetteers;0,7815718054771423
69;lowner_test;lowner_train;gazetteers;0,7094941735267639
70;lowner_train;lowner_test;sentences;0,5966550707817078
71;lowner_test;lowner_train;sentences;0,5640088319778442
72;lowner_dev;lowner_dev;gazetteers;0,6416596174240112
73;lowner_dev;lowner_dev;gazetteers;0,6416596174240112
74;lowner_dev;lowner_dev;sentences;0,5113390684127808
75;lowner_dev;lowner_dev;sentences;0,5113390684127808
76;lowner_dev;lowner_test;gazetteers;0,8002333045005798
77;lowner_test;lowner_dev;gazetteers;0,6338402032852173
78;lowner_dev;lowner_test;sentences;0,5976671576499939
79;lowner_test;lowner_dev;sentences;0,5099985599517822
80;lowner_test;lowner_test;gazetteers;0,7176740765571594
81;lowner_test;lowner_test;gazetteers;0,7176740765571594
82;lowner_test;lowner_test;sentences;0,5963200926780701
83;lowner_test;lowner_test;sentences;0,5963200926780701
